service_id,date,exception_type
109-Sunday-1-DEC16-0000001,20170115,1
109-Sunday-1-DEC16-0000001,20170122,1
109-Sunday-1-DEC16-0000001,20170129,1
109-Sunday-1-DEC16-0000001,20170205,1
109-Weekday-1-DEC16-1111100,20170111,1
109-Weekday-1-DEC16-1111100,20170112,1
109-Weekday-1-DEC16-1111100,20170113,1
109-Weekday-1-DEC16-1111100,20170116,1
109-Weekday-1-DEC16-1111100,20170117,1
109-Weekday-1-DEC16-1111100,20170118,1
109-Weekday-1-DEC16-1111100,20170119,1
109-Weekday-1-DEC16-1111100,20170120,1
109-Weekday-1-DEC16-1111100,20170123,1
109-Weekday-1-DEC16-1111100,20170124,1
109-Weekday-1-DEC16-1111100,20170125,1
109-Weekday-1-DEC16-1111100,20170126,1
109-Weekday-1-DEC16-1111100,20170127,1
109-Weekday-1-DEC16-1111100,20170130,1
109-Weekday-1-DEC16-1111100,20170131,1
109-Weekday-1-DEC16-1111100,20170201,1
109-Weekday-1-DEC16-1111100,20170202,1
109-Weekday-1-DEC16-1111100,20170203,1
109-Weekday-1-DEC16-1111100,20170206,1
109-Weekday-1-DEC16-1111100,20170207,1
109-Weekday-1-DEC16-1111100,20170208,1
109-Weekday-1-DEC16-1111100,20170209,1
109-Weekday-1-DEC16-1111100,20170210,1
11-Saturday-1-DEC16-0000010,20170114,1
11-Saturday-1-DEC16-0000010,20170121,1
11-Saturday-1-DEC16-0000010,20170128,1
11-Saturday-1-DEC16-0000010,20170204,1
11-Saturday-1-DEC16-0000010,20170211,1
11-Sunday-1-DEC16-0000001,20170115,1
11-Sunday-1-DEC16-0000001,20170122,1
11-Sunday-1-DEC16-0000001,20170129,1
11-Sunday-1-DEC16-0000001,20170205,1
11-Weekday-1-DEC16-1111100,20170111,1
11-Weekday-1-DEC16-1111100,20170112,1
11-Weekday-1-DEC16-1111100,20170113,1
11-Weekday-1-DEC16-1111100,20170116,1
11-Weekday-1-DEC16-1111100,20170117,1
11-Weekday-1-DEC16-1111100,20170118,1
11-Weekday-1-DEC16-1111100,20170119,1
11-Weekday-1-DEC16-1111100,20170120,1
11-Weekday-1-DEC16-1111100,20170123,1
11-Weekday-1-DEC16-1111100,20170124,1
11-Weekday-1-DEC16-1111100,20170125,1
11-Weekday-1-DEC16-1111100,20170126,1
11-Weekday-1-DEC16-1111100,20170127,1
11-Weekday-1-DEC16-1111100,20170130,1
11-Weekday-1-DEC16-1111100,20170131,1
11-Weekday-1-DEC16-1111100,20170201,1
11-Weekday-1-DEC16-1111100,20170202,1
11-Weekday-1-DEC16-1111100,20170203,1
11-Weekday-1-DEC16-1111100,20170206,1
11-Weekday-1-DEC16-1111100,20170207,1
11-Weekday-1-DEC16-1111100,20170208,1
11-Weekday-1-DEC16-1111100,20170209,1
11-Weekday-1-DEC16-1111100,20170210,1
110-Saturday-1-DEC16-0000010,20170114,1
110-Saturday-1-DEC16-0000010,20170121,1
110-Saturday-1-DEC16-0000010,20170128,1
110-Saturday-1-DEC16-0000010,20170204,1
